run,bun,scenario,kind,beforeMedianNs,candidateMedianNs,elapsedChangePercent,candidateWins,rounds
bun142-run4,1.4.2,constructor/small,raw candidate,1139.2135000000023,1161.1143999999997,1.9224579062657954,3,7
bun142-run4,1.4.2,framework/helper/small,control,1299.763999999999,1309.8698000000013,0.7775103788074,3,7
bun142-run4,1.4.2,framework/dispatch-value/small,control,4380.252100000007,4333.9385999999995,-1.0573249882126046,2,7
bun142-run4,1.4.2,framework/dispatch-helper/small,control,4492.252300000018,4443.185400000016,-1.0922561050278112,3,7
bun142-run4,1.4.2,framework/dispatch-contract/small,control,5073.998399999982,5108.80810000001,0.6860408154647502,3,7
bun142-run4,1.4.2,constructor/nested-array,raw candidate,4618.734399999994,4761.559799999986,3.0923059788844354,1,7
bun142-run4,1.4.2,framework/helper/nested-array,control,4802.468399999998,4695.796300000029,-2.2211931680793384,4,7
bun142-run4,1.4.2,framework/dispatch-value/nested-array,control,8825.280100000055,8859.643100000085,0.38937007789736633,3,7
bun142-run4,1.4.2,framework/dispatch-helper/nested-array,control,8958.849800000007,9012.149000000045,0.5949335147915624,4,7
bun142-run4,1.4.2,framework/dispatch-contract/nested-array,control,8564.356800000041,8526.639599999999,-0.44039734542636877,5,7
bun142-run4,1.4.2,constructor/unicode,raw candidate,2000.4216000000267,3107.30539999995,55.33252590353497,0,7
bun142-run4,1.4.2,framework/helper/unicode,control,2063.1439000000682,2172.927299999901,5.321170278031961,2,7
bun142-run4,1.4.2,framework/dispatch-value/unicode,control,5270.113200000014,5308.604900000137,0.7303771008205784,5,7
bun142-run4,1.4.2,framework/dispatch-helper/unicode,control,5781.673700000101,5498.767999999836,-4.893145387991371,5,7
bun142-run4,1.4.2,framework/dispatch-contract/unicode,control,7708.570800000052,7096.221500000139,-7.943746200007784,5,7
bun142-run4,1.4.2,constructor/problem,raw candidate,2202.9187000000093,2548.6236000000645,15.693039420839906,0,7
bun142-run4,1.4.2,framework/helper/problem,control,2653.5876999998436,2559.817599999951,-3.5337102293584666,6,7
bun142-run4,1.4.2,framework/dispatch-value/problem,control,5583.067300000039,5394.154800000069,-3.3836686869235466,6,7
bun142-run4,1.4.2,framework/dispatch-helper/problem,control,5818.558499999926,5794.979599999897,-0.4052361078784372,2,7
bun142-run4,1.4.2,framework/dispatch-contract/problem,control,7580.169699999898,7760.4692999999315,2.378569440207068,3,7
bun142-run4,1.4.2,framework/middleware/problem-cookies,framework candidate,6249.358100000063,7019.8247000000265,12.328731810071103,0,7
bun142-run4,1.4.2,framework/dispatch-error/problem-cookies,framework candidate,9545.053700000062,10510.799300000144,10.117759735600806,2,7
bun142-run4,1.4.2,framework/ws-problem/rejected,framework candidate,2721.417900000233,2649.2433999999776,-2.652091764379494,4,7
bun142-run5,1.4.2,constructor/small,raw candidate,1243.1645000000003,1291.6291999999999,3.8984945274739946,4,7
bun142-run5,1.4.2,framework/helper/small,control,1310.5839000000003,1333.0340000000035,1.712984571228371,3,7
bun142-run5,1.4.2,framework/dispatch-value/small,control,5804.500200000007,5565.660100000002,-4.114740145930296,3,7
bun142-run5,1.4.2,framework/dispatch-helper/small,control,5816.2612999999965,5358.9203,-7.863143975323061,6,7
bun142-run5,1.4.2,framework/dispatch-contract/small,control,5616.290099999969,5548.3608,-1.2095048295309607,3,7
bun142-run5,1.4.2,constructor/nested-array,raw candidate,5102.431200000001,5222.302099999979,2.3492898836142695,2,7
bun142-run5,1.4.2,framework/helper/nested-array,control,4565.672199999972,4797.106399999984,5.069006049098612,3,7
bun142-run5,1.4.2,framework/dispatch-value/nested-array,control,8017.80830000007,8371.304400000008,4.408886902421139,4,7
bun142-run5,1.4.2,framework/dispatch-helper/nested-array,control,9204.809599999953,9376.349400000072,1.8635887916695237,3,7
bun142-run5,1.4.2,framework/dispatch-contract/nested-array,control,9242.458499999975,9218.21489999993,-0.2623068310238619,3,7
bun142-run5,1.4.2,constructor/unicode,raw candidate,1997.9207000000317,3280.3649999999834,64.18894904086689,0,7
bun142-run5,1.4.2,framework/helper/unicode,control,2242.123999999967,2226.5997999998945,-0.6923881105627028,4,7
bun142-run5,1.4.2,framework/dispatch-value/unicode,control,6100.310100000024,6233.429700000124,2.1821775912686636,2,7
bun142-run5,1.4.2,framework/dispatch-helper/unicode,control,6277.467699999943,6148.021700000027,-2.0620735332484097,4,7
bun142-run5,1.4.2,framework/dispatch-contract/unicode,control,6773.567499999989,6846.662800000014,1.0791255863328297,4,7
bun142-run5,1.4.2,constructor/problem,raw candidate,2444.3985999998404,3025.7462999999916,23.78285194567651,0,7
bun142-run5,1.4.2,framework/helper/problem,control,3058.563099999992,3236.039999999957,5.802623460669021,2,7
bun142-run5,1.4.2,framework/dispatch-value/problem,control,7104.943599999933,7129.405399999995,0.34429266968512007,6,7
