label,bun,head,command,cwd,exitCode,performance,otherBusySamples,startedAtUtc,finishedAtUtc,metadata,stdout,stderr
baseline-install-bun140,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""install"", ""--frozen-lockfile""]",/tmp/zebra-task03-baseline-tft0ugxq,0,False,0,2026-09-08T02:32:51.548270+00:00,2026-09-08T02:32:51.567495+00:00,baseline-install-bun140.run.jsonl,baseline-install-bun140.stdout.txt.gz,baseline-install-bun140.stderr.txt.gz
baseline-install-bun142,1.4.2,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""install"", ""--frozen-lockfile""]",/tmp/zebra-task03-baseline-tft0ugxq,0,False,0,2026-09-08T02:30:49.985438+00:00,2026-09-08T02:30:50.159948+00:00,baseline-install-bun142.run.jsonl,baseline-install-bun142.stdout.txt.gz,baseline-install-bun142.stderr.txt.gz
bun140-archive-diffcheck,1.4.0,c5730b5e0312ae27ff1a2261382f42908d816b29,"[""git"", ""diff"", ""--check"", ""12e6b88""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T03:21:00.038019+00:00,2026-09-08T03:21:00.060226+00:00,bun140-archive-diffcheck.run.jsonl,bun140-archive-diffcheck.stdout.txt.gz,bun140-archive-diffcheck.stderr.txt.gz
bun140-archive-links,1.4.0,c5730b5e0312ae27ff1a2261382f42908d816b29,"[""python3"", ""plans/bun-native/results/03/check-docs.py""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T03:20:59.809509+00:00,2026-09-08T03:20:59.925956+00:00,bun140-archive-links.run.jsonl,bun140-archive-links.stdout.txt.gz,bun140-archive-links.stderr.txt.gz
bun140-archive-provenance,1.4.0,c5730b5e0312ae27ff1a2261382f42908d816b29,"[""python3"", ""plans/bun-native/results/03/verify-archive.py""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T03:20:59.337903+00:00,2026-09-08T03:20:59.697950+00:00,bun140-archive-provenance.run.jsonl,bun140-archive-provenance.stdout.txt.gz,bun140-archive-provenance.stderr.txt.gz
bun140-bench-check-1,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""run"", ""bench:check""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,1,True,0,2026-09-08T02:44:28.269686+00:00,2026-09-08T02:45:04.604538+00:00,bun140-bench-check-1.run.jsonl,bun140-bench-check-1.stdout.txt.gz,bun140-bench-check-1.stderr.txt.gz
bun140-browser-client,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""build"", ""packages/client/src/index.ts"", ""--target"", ""browser"", ""--outfile"", ""/tmp/zebra-task03-browser-bun140/client.mjs""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T02:31:36.040826+00:00,2026-09-08T02:31:36.051357+00:00,bun140-browser-client.run.jsonl,bun140-browser-client.stdout.txt.gz,bun140-browser-client.stderr.txt.gz
bun140-browser-contract,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""build"", ""packages/contract/src/index.ts"", ""--target"", ""browser"", ""--outfile"", ""/tmp/zebra-task03-browser-bun140/contract.mjs""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T02:31:36.157075+00:00,2026-09-08T02:31:36.166955+00:00,bun140-browser-contract.run.jsonl,bun140-browser-contract.stdout.txt.gz,bun140-browser-contract.stderr.txt.gz
bun140-browser-smoke,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""node"", ""--experimental-vm-modules"", ""plans/bun-native/results/03/browser-smoke.mjs"", ""/tmp/zebra-task03-browser-bun140""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T02:31:36.273984+00:00,2026-09-08T02:31:36.356505+00:00,bun140-browser-smoke.run.jsonl,bun140-browser-smoke.stdout.txt.gz,bun140-browser-smoke.stderr.txt.gz
bun140-build,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""run"", ""build""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T02:31:14.068245+00:00,2026-09-08T02:31:14.112297+00:00,bun140-build.run.jsonl,bun140-build.stdout.txt.gz,bun140-build.stderr.txt.gz
bun140-check-coverage,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""run"", ""check:coverage""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T02:31:35.639905+00:00,2026-09-08T02:31:35.666300+00:00,bun140-check-coverage.run.jsonl,bun140-check-coverage.stdout.txt.gz,bun140-check-coverage.stderr.txt.gz
bun140-coverage,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""test"", ""--coverage"", ""--coverage-reporter=lcov"", ""packages/core""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T02:31:32.849993+00:00,2026-09-08T02:31:35.520954+00:00,bun140-coverage.run.jsonl,bun140-coverage.stdout.txt.gz,bun140-coverage.stderr.txt.gz
bun140-diffcheck,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""git"", ""diff"", ""--check""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T02:31:36.464203+00:00,2026-09-08T02:31:36.473856+00:00,bun140-diffcheck.run.jsonl,bun140-diffcheck.stdout.txt.gz,bun140-diffcheck.stderr.txt.gz
bun140-doc-sync-build-final,1.4.0,db8367f2c7e6173efd99f6af1ca399b390bf02dd,"[""env"", ""DOCS_BASE=/zebra/"", ""bun"", ""run"", ""docs:build""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T03:13:45.807661+00:00,2026-09-08T03:13:54.119491+00:00,bun140-doc-sync-build-final.run.jsonl,bun140-doc-sync-build-final.stdout.txt.gz,bun140-doc-sync-build-final.stderr.txt.gz
bun140-doc-sync-diffcheck,1.4.0,db8367f2c7e6173efd99f6af1ca399b390bf02dd,"[""git"", ""diff"", ""--check""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T03:13:54.836247+00:00,2026-09-08T03:13:54.844642+00:00,bun140-doc-sync-diffcheck.run.jsonl,bun140-doc-sync-diffcheck.stdout.txt.gz,bun140-doc-sync-diffcheck.stderr.txt.gz
bun140-doc-sync-hashes,1.4.0,db8367f2c7e6173efd99f6af1ca399b390bf02dd,"[""sha256sum"", ""--check"", ""plans/bun-native/results/03/doc-sync-inputs.sha256""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T03:15:30.747209+00:00,2026-09-08T03:15:30.754973+00:00,bun140-doc-sync-hashes.run.jsonl,bun140-doc-sync-hashes.stdout.txt.gz,bun140-doc-sync-hashes.stderr.txt.gz
bun140-doc-sync-links-final-pass,1.4.0,db8367f2c7e6173efd99f6af1ca399b390bf02dd,"[""python3"", ""plans/bun-native/results/03/check-docs.py""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T03:13:54.228915+00:00,2026-09-08T03:13:54.340172+00:00,bun140-doc-sync-links-final-pass.run.jsonl,bun140-doc-sync-links-final-pass.stdout.txt.gz,bun140-doc-sync-links-final-pass.stderr.txt.gz
bun140-doc-sync-lint,1.4.0,db8367f2c7e6173efd99f6af1ca399b390bf02dd,"[""bun"", ""run"", ""lint""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T03:13:54.454780+00:00,2026-09-08T03:13:54.730873+00:00,bun140-doc-sync-lint.run.jsonl,bun140-doc-sync-lint.stdout.txt.gz,bun140-doc-sync-lint.stderr.txt.gz
bun140-docs-build,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""env"", ""DOCS_BASE=/zebra/"", ""bun"", ""run"", ""docs:build""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T02:54:01.502962+00:00,2026-09-08T02:54:09.515037+00:00,bun140-docs-build.run.jsonl,bun140-docs-build.stdout.txt.gz,bun140-docs-build.stderr.txt.gz
bun140-http-samples-baseline-1,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""run"", ""/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation/plans/bun-native/results/03/http-samples.mjs"", ""/tmp/zebra-task03-baseline-tft0ugxq""]",/tmp/zebra-task03-baseline-tft0ugxq,1,True,0,2026-09-08T02:50:12.887762+00:00,2026-09-08T02:50:49.214538+00:00,bun140-http-samples-baseline-1.run.jsonl,bun140-http-samples-baseline-1.stdout.txt.gz,bun140-http-samples-baseline-1.stderr.txt.gz
bun140-install,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""install"", ""--frozen-lockfile""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T02:30:50.261840+00:00,2026-09-08T02:30:50.278438+00:00,bun140-install.run.jsonl,bun140-install.stdout.txt.gz,bun140-install.stderr.txt.gz
bun140-json-current-check,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""run"", ""bench/native-json.ts"", ""--candidate"", ""current"", ""--check""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T02:31:35.772336+00:00,2026-09-08T02:31:35.930615+00:00,bun140-json-current-check.run.jsonl,bun140-json-current-check.stdout.txt.gz,bun140-json-current-check.stderr.txt.gz
bun140-lint,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""run"", ""lint""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T02:31:13.712154+00:00,2026-09-08T02:31:13.967507+00:00,bun140-lint.run.jsonl,bun140-lint.stdout.txt.gz,bun140-lint.stderr.txt.gz
bun140-native-body-1,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""run"", ""bench/native-body.ts""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,True,7,2026-09-08T02:40:39.194272+00:00,2026-09-08T02:41:08.575168+00:00,bun140-native-body-1.run.jsonl,bun140-native-body-1.stdout.txt.gz,bun140-native-body-1.stderr.txt.gz
bun140-native-body-2,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""run"", ""bench/native-body.ts""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,True,2,2026-09-08T02:41:39.006834+00:00,2026-09-08T02:41:59.181358+00:00,bun140-native-body-2.run.jsonl,bun140-native-body-2.stdout.txt.gz,bun140-native-body-2.stderr.txt.gz
bun140-native-body-3,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""run"", ""bench/native-body.ts""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,True,0,2026-09-08T02:42:43.493530+00:00,2026-09-08T02:43:04.314595+00:00,bun140-native-body-3.run.jsonl,bun140-native-body-3.stdout.txt.gz,bun140-native-body-3.stderr.txt.gz
bun140-native-json-1,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""run"", ""bench/native-json.ts""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,True,0,2026-09-08T02:34:03.981325+00:00,2026-09-08T02:34:23.336704+00:00,bun140-native-json-1.run.jsonl,bun140-native-json-1.stdout.txt.gz,bun140-native-json-1.stderr.txt.gz
bun140-session-sign-1,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""run"", ""bench/session-sign.ts""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,True,0,2026-09-08T02:43:54.610486+00:00,2026-09-08T02:43:58.048217+00:00,bun140-session-sign-1.run.jsonl,bun140-session-sign-1.stdout.txt.gz,bun140-session-sign-1.stderr.txt.gz
bun140-test,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""run"", ""test""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T02:31:14.216583+00:00,2026-09-08T02:31:31.411484+00:00,bun140-test.run.jsonl,bun140-test.stdout.txt.gz,bun140-test.stderr.txt.gz
bun140-typecheck,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""run"", ""typecheck""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T02:31:12.617029+00:00,2026-09-08T02:31:13.611656+00:00,bun140-typecheck.run.jsonl,bun140-typecheck.stdout.txt.gz,bun140-typecheck.stderr.txt.gz
bun140-verify-packages,1.4.0,12e6b88e41198bae922a1d6ca9c6a68cc4f40a8f,"[""bun"", ""run"", ""verify:packages""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T02:31:31.524747+00:00,2026-09-08T02:31:32.736617+00:00,bun140-verify-packages.run.jsonl,bun140-verify-packages.stdout.txt.gz,bun140-verify-packages.stderr.txt.gz
bun142-archive-diffcheck,1.4.2,c5730b5e0312ae27ff1a2261382f42908d816b29,"[""git"", ""diff"", ""--check"", ""12e6b88""]",/home/ubuntu/.herdr/worktrees/zebra/herdr-plan-bun-native-03-docs-and-validation,0,False,0,2026-09-08T03:20:59.209546+00:00,2026-09-08T03:20:59.229717+00:00,bun142-archive-diffcheck.run.jsonl,bun142-archive-diffcheck.stdout.txt.gz,bun142-archive-diffcheck.stderr.txt.gz
