run,bun,eligible,phase,scenario,rounds,unit,before,after,changePercent
bun140-bench-check-1,1.4.0,True,HTTP gate FAIL,static,3,req/s (printed),,32168.0,
bun140-bench-check-1,1.4.0,True,HTTP gate FAIL,static,3,p95 ms (printed),,2.75,
bun140-bench-check-1,1.4.0,True,HTTP gate FAIL,param,3,req/s (printed),,35756.0,
bun140-bench-check-1,1.4.0,True,HTTP gate FAIL,param,3,p95 ms (printed),,3.02,
bun140-bench-check-1,1.4.0,True,HTTP gate FAIL,wildcard,3,req/s (printed),,33556.0,
bun140-bench-check-1,1.4.0,True,HTTP gate FAIL,wildcard,3,p95 ms (printed),,3.33,
bun140-bench-check-1,1.4.0,True,HTTP gate FAIL,middleware,3,req/s (printed),,38068.0,
bun140-bench-check-1,1.4.0,True,HTTP gate FAIL,middleware,3,p95 ms (printed),,2.7,
bun140-bench-check-1,1.4.0,True,HTTP gate FAIL,json,3,req/s (printed),,37336.0,
bun140-bench-check-1,1.4.0,True,HTTP gate FAIL,json,3,p95 ms (printed),,2.97,
bun140-bench-check-1,1.4.0,True,HTTP gate FAIL,di,3,req/s (printed),,28300.0,
bun140-bench-check-1,1.4.0,True,HTTP gate FAIL,di,3,p95 ms (printed),,3.62,
bun140-bench-check-1,1.4.0,True,HTTP gate FAIL,static-file,3,req/s (printed),,17847.0,
bun140-bench-check-1,1.4.0,True,HTTP gate FAIL,static-file,3,p95 ms (printed),,5.05,
bun140-bench-check-1,1.4.0,True,HTTP gate FAIL,post-json,3,req/s (printed),,9096.0,
bun140-bench-check-1,1.4.0,True,HTTP gate FAIL,post-json,3,p95 ms (printed),,12.13,
bun140-http-samples-baseline-1,1.4.0,True,HTTP,static,3,req/s,,40736.014378300126,
bun140-http-samples-baseline-1,1.4.0,True,HTTP,static,3,p95 ms,,2.445769000000155,
bun140-http-samples-baseline-1,1.4.0,True,HTTP,param,3,req/s,,40923.445081149825,
bun140-http-samples-baseline-1,1.4.0,True,HTTP,param,3,p95 ms,,2.3762989999995625,
bun140-http-samples-baseline-1,1.4.0,True,HTTP,wildcard,3,req/s,,35350.592168189316,
bun140-http-samples-baseline-1,1.4.0,True,HTTP,wildcard,3,p95 ms,,2.833725999998933,
bun140-http-samples-baseline-1,1.4.0,True,HTTP,middleware,3,req/s,,36899.66875481906,
bun140-http-samples-baseline-1,1.4.0,True,HTTP,middleware,3,p95 ms,,2.6629069999999047,
bun140-http-samples-baseline-1,1.4.0,True,HTTP,json,3,req/s,,31199.577586543008,
bun140-http-samples-baseline-1,1.4.0,True,HTTP,json,3,p95 ms,,3.192087999999785,
bun140-http-samples-baseline-1,1.4.0,True,HTTP,di,3,req/s,,30835.15710851569,
bun140-http-samples-baseline-1,1.4.0,True,HTTP,di,3,p95 ms,,3.2680209999998624,
bun140-http-samples-baseline-1,1.4.0,True,HTTP,static-file,3,req/s,,16482.09707440982,
bun140-http-samples-baseline-1,1.4.0,True,HTTP,static-file,3,p95 ms,,5.8572690000000875,
bun140-http-samples-baseline-1,1.4.0,True,HTTP,post-json,3,req/s,,10213.964022506825,
bun140-http-samples-baseline-1,1.4.0,True,HTTP,post-json,3,p95 ms,,10.969554000002972,
bun140-native-body-1,1.4.0,False,merge,empty-stream,9,ns/op,26.0561899999999,50.39828,93.42152478931183
bun140-native-body-1,1.4.0,False,merge,empty-chunks,9,ns/op,84.46855000000028,69.71086999999955,-17.47121265843996
bun140-native-body-1,1.4.0,False,merge,single-byte,9,ns/op,56.730810000000254,170.52356999999915,200.58370398730142
bun140-native-body-1,1.4.0,False,merge,small-json-single,9,ns/op,64.96509999999944,242.87746999999968,273.85837934522044
bun140-native-body-1,1.4.0,False,merge,small-json-chunked,9,ns/op,128.29053999999815,251.0143799999992,95.66086478395275
bun140-native-body-1,1.4.0,False,merge,16x1KiB,9,ns/op,3118.6743164062227,2985.5937500000705,-4.267215903438948
