run,bun,eligible,suite,fixture,metric,pairs,median_A,median_B,median_change_pct,median_abs_pair_pct,p90_abs_pair_pct,A_mad_pct,B_mad_pct,paired_changes_pct
aa-140-1,1.4.0,False,router,10/static-shallow,nsPerOp,5,306.24767,309.1549500000001,0.9493231409728242,4.903800114341228,14.693923835751121,2.8284362130820404,1.981689117382738,"[6.592467832774207, -4.903800114341228, 14.693923835751121, 1.682707536725836, -2.432981775828702]"
aa-140-1,1.4.0,False,router,10/static-deep,nsPerOp,5,517.2478000000001,524.3663700000001,1.3762397829435002,2.256691768462271,11.739801679522655,2.6066655092588182,2.6118131870280257,"[7.704650573791705, -2.256691768462271, -11.739801679522655, -0.4391393858182213, -1.2715182162205796]"
aa-140-1,1.4.0,False,router,10/param,nsPerOp,5,643.4870799999999,622.02539,-3.3352169246350427,10.51811683619409,27.707109707240797,2.2191292480962055,5.376499181166895,"[27.707109707240797, -4.755332461375906, -10.51811683619409, -4.853098492220276, 19.71340499354064]"
aa-140-1,1.4.0,False,router,10/param-encoded,nsPerOp,5,601.3723899999997,620.4878500000003,3.1786394450201927,6.5764758505125975,18.42483675773684,4.298892072514415,4.071074075020113,"[6.5764758505125975, -1.0740791251314108, -18.42483675773684, -1.2447779467962827, 12.558889844249844]"
aa-140-1,1.4.0,False,router,10/wildcard,nsPerOp,5,722.7225499999997,657.3921799999999,-9.039481333466048,12.87437482060023,22.767604891229464,5.736673084297723,4.215997823399744,"[6.520932073345054, -12.87437482060023, -13.212146441234552, 7.296446649531618, 22.767604891229464]"
aa-140-1,1.4.0,False,router,10/miss,nsPerOp,5,301.4452,294.7175199999998,-2.231808633874477,4.073456547062193,16.294332077141284,9.416212299946947,2.745910728347521,"[-16.294332077141284, -0.24315198915101366, -10.500123258834982, 4.073456547062193, 3.447495038938575]"
aa-140-1,1.4.0,False,router,10/method-miss,nsPerOp,5,311.30033999999966,294.09542999999985,-5.526788052977983,2.3533136068995653,17.433692580054917,7.698921883606082,2.5323888915920096,"[17.433692580054917, -5.736942015546598, -0.19601445704348075, 2.0898503742664998, 2.3533136068995653]"
aa-140-1,1.4.0,False,router,10/registration,nsPerOp,5,9136.100000000057,9732.10999999992,6.523680782827035,8.156787784149166,75.31419314586721,2.8063396854251086,11.936465987330864,"[75.31419314586721, -29.19309052574296, -6.930674884019494, 8.156787784149166, 0.5235531340583188]"
aa-140-1,1.4.0,False,router,100/static-shallow,nsPerOp,5,313.0750500000005,307.6315699999998,-1.7387140878842633,3.2507108908381266,7.953723829674686,2.4396258980076424,4.575577207501709,"[3.2507108908381266, -7.953723829674686, -0.8739969366125866, -3.6233141582846407, -1.7387140878842633]"
aa-140-1,1.4.0,False,router,100/static-deep,nsPerOp,5,526.0231599999997,529.4622200000003,0.6537849017903774,2.421876141741963,9.503393436301867,1.2450478416198467,1.132031667906402,"[1.9227721768979578, -3.725512770198147, 0.1874675843990925, 9.503393436301867, -2.421876141741963]"
aa-140-1,1.4.0,False,router,100/param,nsPerOp,5,584.56097,567.4116700000002,-2.9337059571390545,6.166169889682516,12.029075441280202,1.2371096209177153,2.3719180819809904,"[12.029075441280202, -6.166169889682516, -2.0408365004476514, -7.854874106523091, -2.9337059571390545]"
aa-140-1,1.4.0,False,router,100/param-encoded,nsPerOp,5,634.7361600000011,617.13978,-2.772235317427174,8.5853007380712,27.584350283419145,0.8485919566956643,7.515012239204627,"[-2.914636916045299, -8.5853007380712, 27.584350283419145, -2.690516911744689, 16.323629647946824]"
aa-140-1,1.4.0,False,router,100/wildcard,nsPerOp,5,591.97316,584.2127600000003,-1.310937813464319,5.149195641912829,9.722283569048852,3.3509644254816098,2.975629974257927,"[1.9372305045679772, -1.310937813464319, 5.149195641912829, 6.899639437965388, -9.722283569048852]"
