file,compressedBytes,rawBytes,compressedSha256,rawSha256
aa-140-router-1/load.jsonl.gz,5502,62851,eb3734e2ad4673ddd897a01f2692087059c8e4314d29cf895dcc2278f3978a10,bf83e24fb908f96a1bfec8512c6a7055c7c94362ff1e6a0ab56f0c101ab95cf4
aa-140-router-1/status.json.gz,471,894,876e2a0d557ae73885bef6dfc55bec7b834dfd04bbec2d6452b764e16beb3ef1,c160332693e2d1d2ead48a8bec69c18e716987daa3a8f2913eee41525213cac0
aa-140-router-2/load.jsonl.gz,5937,53165,5ccd1e7f5bd421064b08bda6622383694009778bb324562f44a4810ceb8c629f,ed7a2a4b97170491be9a001a3f9517ce35b5d60e7f7f4edad3f4e577cd44fc80
aa-140-router-2/status.json.gz,472,894,b876230f64db31664f1ec413d873dea1c53af501ce56a67ec0f2f12cb69ce60b,96311dba33d28310c82421023771490facbedae502d336b9bf85762d3a5a117d
baseline-candidate-focused-140-fuzz-router.test.ts.gz,3091,8846,56dde2d6cc40e62811ef38592e980423c560830c7493f500520ed49b616b49b1,f871da66ae91a29837c977185feb1d8fe84b65d25c52e0e982661f115980efd1
baseline-candidate-focused-140-router-radix.test.ts.gz,2100,8711,0def84f8b4844063276f4ea1e5cba78415619d67df5040ad03d0bc505efacb17,f3ecb212ec8b8752deed05cdfdb2d7c987a0d5c2bfd4df1e92522222a084e063
baseline-fuzz-router.test.ts.gz,3068,8845,71283c0b0cfef7ae5db0ec0641e6829ee7e557892646b6141aeb9b5c0b9fd90f,b83fa4cc90be53954ab42df3a18ec53c482d1be0e44b7278e9d7a2daa7c6e9b2
baseline-router-radix.test.ts.gz,2059,8672,53bcafa98247c36db2f72972f65b656b54eb4cefc1b108f2445b18a51fb200d5,cb7bb2f985edda332a22d1f1fd5d3ef884195de8ed68bd7cd714f0625aabf60b
candidate-142-01.log.gz,1820,4753,ecbe5cd412101b65d2c919bdcd51acb98d71332549b7cdac0bfcd5da20c2fd9a,8f7fe6c8c37b1bcb0e440dc3b52bad5f06c1acb0f91572990663c8fd2508774c
candidate-142-02.log.gz,771,1678,a449825fbae157a7913a84d983c83561d746148f684e7aea53ff195c464dc525,8757aee1b83e072a1ee09d12be4540f180a3ec96494c2479996fb8432a33cab4
candidate-142-03.log.gz,806,1520,858f5c946a5d30459c4dc88bf3e0bcdc4c81a19d489c7a3803c347146b27c7b6,b498893ca8f3344e781c437800415e3550fc6a495aeaf6033a877bce396c5984
candidate-142-04.log.gz,2055,7613,067a6f5f94bd370a1292e5e9516be35199819d59f1bafd709f97a38f724824e7,3e496946ffa2f1b55e38b32cf6ca73b81cc7fbe0317a9ead80ed1129116d6deb
candidate-142-05.log.gz,2033,7759,f0983fa8a77503547cefca2e9629237d1f9b52115f4a83407a46d3cc5cc24666,02932d1e7eafb392b0594ad56399c517dd8e82f4e9db9c514963624bf915e544
candidate-142-06.log.gz,359,725,b70230e021ab82a32afd0d8183d29b6c10cc22f4fe02ff715043e0212c2d692d,72f39a4748d1e9437cd022bffd8ce84b6d2f4c990e7b4c9651e9c1ccf980e761
candidate-142-07.log.gz,532,1403,5b4103cac2018b6eab10cdc4433b640fc42666d4dc9c858ce250635eb85c82b9,b84284ec3c594fe3eeb1a7fca0d50370b7ec51e8258c52d9013aa61d2a13a55d
candidate-focused-140-01.log.gz,1838,4753,0cdd5d0647ce722c448c6460cdfc6ec89892929bae35522d0656678fe817ee12,bc29a460795093b48d184f02018e818c908fdf31a7d5209eca6dd6429cff5d27
candidate-focused-140-02.log.gz,788,1722,8978b1492e300cc2f0ece83ed3f8f95f205f7580c9cf486cec37a9ad22fdea5c,c820f7369e8127ede6b3ff2d73a7461a7ceca6afd4f8820452bc84d94a7115ec
candidate-focused-140-03.log.gz,813,1520,7c58b308a4287660767826a6c3a146ef39bf1d9ed9ea9a0faca9f5f63ceab138,23f87489edfea90d930a39030b2c14bbec1f189fd408ef694875c96afcf142b4
candidate-focused-140-04.log.gz,2064,7673,dda7346fbb39b0f9c94de8fe822c0b968295616186e49a21a8a20b9b308cbcdf,9473ef8d459a1d540ae6c7ecf1a062e2847f73c22ca69f2a2bade63b29c89ac9
candidate-focused-140-05.log.gz,2074,7819,3b5e1468c36a7551f763aea4c4f6570e676cac377ebd8c9547e2cd4ec4235127,af215a950ec6e447bb5294f691896c9d783b5b905044e4e634ad06389fc4a1ac
candidate-focused-140-06.log.gz,81,33,ce64871a36762a3ae17311b707c35b9c5bda877b29d7a42cd95229dd4e67fb8b,793b3289aad460c12104600252941dc521578230c52a1216a8d6668b76629cc3
candidate-focused-140-07.log.gz,106,62,2338f62d88c63dc0a2352eccd9b75ce95b2bf83a0fb17d96da15c88ab925abca,4b9b6e1e86a415bdfe8b288f11f31d7d5da6b41f8843c0b3b7de819f04cc3d9d
candidate-full-140-01.log.gz,131,96,c7c8b85d078582ab91f1a6327bcf2e5fd326f39d7bea2f785b58df4f00d5d6dc,6b967d5903a79402a95bff70213e0bbe8cf0901e06cff7886a30cf9908891087
candidate-full-140-02.log.gz,78,33,f12e11de29d3de85fff9d3b207d892ae85d3ddf155804fb29d4fcfb3ad22bd29,793b3289aad460c12104600252941dc521578230c52a1216a8d6668b76629cc3
candidate-full-140-03.log.gz,103,62,862f97fd9758b331c8d49c7ab2cb687c3b7bb4b2c9ccb4de77f677761db19823,191bd8733136323d298f3770edca2037aebe570709dda4d16c413da344c95cf5
